Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
358,5,"Dipole_1, C6, r2, Polarizability, Polar_acc",0.9546,0.8566,0.098,3.4247,0.9433,169.33,194.97,0.9713,1.7959,"C6, Scaffold_BX-6",253
212,4,"Dipole_1, C6, r2, Polarizability",0.9546,0.8566,0.098,3.4247,0.9442,167.33,190.64,0.9713,1.7959,"C6, Scaffold_BX-6",254
458,6,"Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9546,0.8566,0.098,3.4247,0.9424,171.33,199.3,0.9713,1.7959,"C6, Scaffold_BX-6",255
356,5,"Dipole_1, C6, r2, r2_acc, Polarizability",0.9546,0.8566,0.098,3.4247,0.9433,169.33,194.97,0.9713,1.7959,"C6, Scaffold_BX-6",256
82,3,"Dipole_1, Q_2, r2_acc",0.9399,0.8561,0.0839,3.6368,0.929,184.7,205.68,0.8919,3.4839,—,257
19,2,"Dipole_1, Q_2",0.9399,0.8561,0.0839,3.6368,0.9301,182.7,201.35,0.8919,3.4839,—,258
84,3,"Dipole_1, Q_2, Polar_acc",0.9399,0.8561,0.0839,3.6368,0.929,184.7,205.68,0.8919,3.4839,—,259
209,4,"Dipole_1, Q_2, r2_acc, Polar_acc",0.9399,0.8561,0.0839,3.6368,0.9279,186.7,210.01,0.8919,3.4839,—,260
310,5,"Monopole, Q_0, r2_acc, Polarizability, Polar_acc",0.9492,0.8547,0.0945,3.4274,0.938,176.14,201.77,0.9349,2.7042,Scaffold_BX-6,261
57,3,"Monopole, Q_0, Polarizability",0.9492,0.8547,0.0945,3.4274,0.9399,172.14,193.11,0.9349,2.7042,Scaffold_BX-6,262
163,4,"Monopole, Q_0, r2_acc, Polarizability",0.9492,0.8547,0.0945,3.4274,0.9389,174.14,197.44,0.9349,2.7042,Scaffold_BX-6,263
165,4,"Monopole, Q_0, Polarizability, Polar_acc",0.9492,0.8547,0.0945,3.4274,0.9389,174.14,197.44,0.9349,2.7042,Scaffold_BX-6,264
207,4,"Dipole_1, Q_2, r2, Polar_acc",0.9402,0.8539,0.0864,3.682,0.928,186.7,210.0,0.8913,3.4929,"r2, Scaffold_Pyrimidine",265
205,4,"Dipole_1, Q_2, r2, r2_acc",0.9402,0.8539,0.0864,3.682,0.928,186.7,210.0,0.8913,3.4929,"r2, Scaffold_Pyrimidine",266
81,3,"Dipole_1, Q_2, r2",0.9402,0.8539,0.0864,3.682,0.929,184.7,205.67,0.8913,3.4929,"r2, Scaffold_Pyrimidine",267
353,5,"Dipole_1, Q_2, r2, r2_acc, Polar_acc",0.9402,0.8539,0.0864,3.682,0.9268,188.7,214.34,0.8913,3.4929,"r2, Scaffold_Pyrimidine",268
460,6,"Q_0, Q_2, C6, r2, r2_acc, Polar_acc",0.9568,0.8536,0.1032,3.5729,0.9456,166.93,194.9,0.9502,2.3653,"Q_0, Scaffold_BX-6, Scaffold_Benzene",269
221,4,"Q_0, Q_2, C6, r2",0.9568,0.8536,0.1032,3.5729,0.9473,162.93,186.24,0.9502,2.3653,"Q_0, Scaffold_BX-6, Scaffold_Benzene",270
361,5,"Q_0, Q_2, C6, r2, r2_acc",0.9568,0.8536,0.1032,3.5729,0.9465,164.93,190.57,0.9502,2.3653,"Q_0, Scaffold_BX-6, Scaffold_Benzene",271
363,5,"Q_0, Q_2, C6, r2, Polar_acc",0.9568,0.8536,0.1032,3.5729,0.9465,164.93,190.57,0.9502,2.3653,"Q_0, Scaffold_BX-6, Scaffold_Benzene",272
54,3,"Monopole, Q_0, C6",0.9508,0.8501,0.1007,3.528,0.9414,170.16,191.14,0.9422,2.5478,Scaffold_BX-6,273
157,4,"Monopole, Q_0, C6, r2_acc",0.9508,0.8501,0.1007,3.528,0.9405,172.16,195.47,0.9422,2.5478,Scaffold_BX-6,274
159,4,"Monopole, Q_0, C6, Polar_acc",0.9508,0.8501,0.1007,3.528,0.9405,172.16,195.47,0.9422,2.5478,Scaffold_BX-6,275
305,5,"Monopole, Q_0, C6, r2_acc, Polar_acc",0.9508,0.8501,0.1007,3.528,0.9396,174.16,199.8,0.9422,2.5478,Scaffold_BX-6,276
25,2,"Q_0, Q_2",0.9393,0.8497,0.0897,3.6748,0.9287,184.17,202.81,0.9293,2.8171,Scaffold_BX-6,277
97,3,"Q_0, Q_2, r2_acc",0.9393,0.8497,0.0897,3.6748,0.9277,186.17,207.14,0.9293,2.8171,Scaffold_BX-6,278
229,4,"Q_0, Q_2, r2_acc, Polar_acc",0.9393,0.8497,0.0897,3.6748,0.9265,188.17,211.47,0.9293,2.8171,Scaffold_BX-6,279
99,3,"Q_0, Q_2, Polar_acc",0.9393,0.8497,0.0897,3.6748,0.9277,186.17,207.14,0.9293,2.8171,Scaffold_BX-6,280
357,5,"Dipole_1, C6, r2, r2_acc, Polar_acc",0.9505,0.8489,0.1016,3.4328,0.9389,175.02,200.66,0.9412,2.5689,"Scaffold_BX-6, Scaffold_Benzene",281
