Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
446,6,"Dipole_1, Q_0, Q_2, r2, Polarizability, Polar_acc","Dipole_1, Q_0, Q_2, r2, Polarizability, Polar_acc, Scaffold_Factor",0.8276,0.7351,0.0925,0.0447,0.7785,-450.02,-419.89,0.3318,0.1798,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",117
331,5,"Dipole_1, Q_0, Q_2, r2, Polarizability","Dipole_1, Q_0, Q_2, r2, Polarizability, Scaffold_Factor",0.8276,0.7351,0.0925,0.0447,0.7821,-452.02,-424.21,0.3318,0.1798,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",118
444,6,"Dipole_1, Q_0, Q_2, r2, r2_acc, Polarizability","Dipole_1, Q_0, Q_2, r2, r2_acc, Polarizability, Scaffold_Factor",0.8276,0.7351,0.0925,0.0447,0.7785,-450.02,-419.89,0.3318,0.1798,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",119
498,7,"Dipole_1, Q_0, Q_2, r2, r2_acc, Polarizability, Polar_acc","Dipole_1, Q_0, Q_2, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8276,0.7351,0.0925,0.0447,0.7748,-448.02,-415.57,0.3318,0.1798,"Q_0, Q_2, Scaffold_BX-6, Scaffold_Benzene",120
57,3,"Monopole, Q_0, Polarizability","Monopole, Q_0, Polarizability, Scaffold_Factor",0.8155,0.7346,0.0809,0.0448,0.7748,-451.17,-428.0,0.3083,0.1829,Scaffold_BX-6,121
55,3,"Monopole, Q_0, r2","Monopole, Q_0, r2, Scaffold_Factor",0.8143,0.7346,0.0797,0.0447,0.7736,-450.76,-427.59,0.3068,0.1831,"Scaffold_BX-6, Scaffold_Pyrimidine",122
308,5,"Monopole, Q_0, r2, r2_acc, Polar_acc","Monopole, Q_0, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8143,0.7346,0.0797,0.0447,0.7663,-446.76,-418.95,0.3068,0.1831,"Scaffold_BX-6, Scaffold_Pyrimidine",123
310,5,"Monopole, Q_0, r2_acc, Polarizability, Polar_acc","Monopole, Q_0, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8155,0.7346,0.0809,0.0448,0.7675,-447.17,-419.36,0.3083,0.1829,Scaffold_BX-6,124
165,4,"Monopole, Q_0, Polarizability, Polar_acc","Monopole, Q_0, Polarizability, Polar_acc, Scaffold_Factor",0.8155,0.7346,0.0809,0.0448,0.7712,-449.17,-423.68,0.3083,0.1829,Scaffold_BX-6,125
160,4,"Monopole, Q_0, r2, r2_acc","Monopole, Q_0, r2, r2_acc, Scaffold_Factor",0.8143,0.7346,0.0797,0.0447,0.77,-448.76,-423.27,0.3068,0.1831,"Scaffold_BX-6, Scaffold_Pyrimidine",126
163,4,"Monopole, Q_0, r2_acc, Polarizability","Monopole, Q_0, r2_acc, Polarizability, Scaffold_Factor",0.8155,0.7346,0.0809,0.0448,0.7712,-449.17,-423.68,0.3083,0.1829,Scaffold_BX-6,127
162,4,"Monopole, Q_0, r2, Polar_acc","Monopole, Q_0, r2, Polar_acc, Scaffold_Factor",0.8143,0.7346,0.0797,0.0447,0.77,-448.76,-423.27,0.3068,0.1831,"Scaffold_BX-6, Scaffold_Pyrimidine",128
301,5,"Monopole, Q_0, C6, r2, r2_acc","Monopole, Q_0, C6, r2, r2_acc, Scaffold_Factor",0.8192,0.7343,0.0849,0.0448,0.772,-448.62,-420.81,0.3171,0.1818,"Monopole, Scaffold_Factor, Scaffold_BX-6",129
