Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
358,5,"Dipole_1, C6, r2, Polarizability, Polar_acc","Dipole_1, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6544,0.1811,0.4733,0.6131,0.4961,-73.45,-47.36,0.6809,0.3081,"C6, Polarizability, Scaffold_BX-6",330
356,5,"Dipole_1, C6, r2, r2_acc, Polarizability","Dipole_1, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6544,0.1811,0.4733,0.6131,0.4961,-73.45,-47.36,0.6809,0.3081,"C6, Polarizability, Scaffold_BX-6",331
175,4,"Monopole, Q_2, Polarizability, Polar_acc","Monopole, Q_2, Polarizability, Polar_acc, Scaffold_Factor",0.6408,0.1636,0.4772,0.6264,0.4769,-71.79,-47.87,0.3532,0.4386,"Monopole, Q_2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",332
62,3,"Monopole, Q_2, Polarizability","Monopole, Q_2, Polarizability, Scaffold_Factor",0.6408,0.1636,0.4772,0.6264,0.4866,-73.79,-52.04,0.3532,0.4386,"Monopole, Q_2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",333
173,4,"Monopole, Q_2, r2_acc, Polarizability","Monopole, Q_2, r2_acc, Polarizability, Scaffold_Factor",0.6408,0.1636,0.4772,0.6264,0.4769,-71.79,-47.87,0.3532,0.4386,"Monopole, Q_2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",334
320,5,"Monopole, Q_2, r2_acc, Polarizability, Polar_acc","Monopole, Q_2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6408,0.1636,0.4772,0.6264,0.4669,-69.79,-43.7,0.3532,0.4386,"Monopole, Q_2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",335
318,5,"Monopole, Q_2, r2, r2_acc, Polar_acc","Monopole, Q_2, r2, r2_acc, Polar_acc, Scaffold_Factor",0.6421,0.1589,0.4831,0.6243,0.4676,-69.88,-43.79,0.3456,0.4412,"Monopole, Q_2, r2, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene",336
170,4,"Monopole, Q_2, r2, r2_acc","Monopole, Q_2, r2, r2_acc, Scaffold_Factor",0.6421,0.1589,0.4831,0.6243,0.4777,-71.88,-47.96,0.3456,0.4412,"Monopole, Q_2, r2, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene",337
172,4,"Monopole, Q_2, r2, Polar_acc","Monopole, Q_2, r2, Polar_acc, Scaffold_Factor",0.6421,0.1589,0.4831,0.6243,0.4777,-71.88,-47.96,0.3456,0.4412,"Monopole, Q_2, r2, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene",338
60,3,"Monopole, Q_2, r2","Monopole, Q_2, r2, Scaffold_Factor",0.6421,0.1589,0.4831,0.6243,0.4874,-73.88,-52.14,0.3456,0.4412,"Monopole, Q_2, r2, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene",339
